epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.0621,1.13486,0.9933,1.26417,0.71599,0.70196,0.72383,0.46451,1.35363,1.02453,1.38494,0.000474207,0.000474207,0.000474207
2,125.98,1.18644,1.04614,1.29412,0.71962,0.63577,0.70071,0.42696,1.44753,1.13826,1.46303,0.00094113,0.00094113,0.00094113
3,186.928,1.24576,1.12265,1.32882,0.74831,0.62324,0.70687,0.41962,1.45012,1.16573,1.46382,0.00139862,0.00139862,0.00139862
4,251.82,1.25802,1.16575,1.33413,0.74314,0.64785,0.72479,0.42792,1.47883,1.16032,1.50155,0.00138656,0.00138656,0.00138656
5,317.78,1.28079,1.16622,1.34911,0.68447,0.63834,0.67711,0.40777,1.43155,1.20369,1.46241,0.00137241,0.00137241,0.00137241
6,385.512,1.27116,1.16495,1.34568,0.68814,0.61814,0.66489,0.39423,1.45135,1.1926,1.46003,0.00135826,0.00135826,0.00135826
7,453.75,1.25874,1.17086,1.34292,0.71798,0.61739,0.70194,0.40983,1.48218,1.16537,1.4974,0.00134412,0.00134412,0.00134412
8,521.786,1.27647,1.19311,1.35155,0.69776,0.63592,0.69661,0.42062,1.45171,1.16874,1.4529,0.00132997,0.00132997,0.00132997
9,590.214,1.27625,1.17337,1.34471,0.69223,0.65114,0.6506,0.39165,1.43423,1.19759,1.45693,0.00131582,0.00131582,0.00131582
10,658.685,1.26442,1.15093,1.33903,0.73507,0.62669,0.68315,0.40731,1.44657,1.16573,1.46794,0.00130168,0.00130168,0.00130168
11,727.354,1.26713,1.14924,1.34292,0.72015,0.6393,0.71087,0.42676,1.45597,1.1421,1.46805,0.00128753,0.00128753,0.00128753
12,795.844,1.25465,1.15058,1.34032,0.758,0.5891,0.6877,0.40913,1.46931,1.16064,1.48203,0.00127338,0.00127338,0.00127338
13,865.436,1.26935,1.13848,1.33814,0.76255,0.57497,0.68949,0.41894,1.45474,1.1615,1.45717,0.00125923,0.00125923,0.00125923
14,934.264,1.25181,1.13709,1.33483,0.74378,0.64469,0.72479,0.43482,1.45084,1.13675,1.45956,0.00124509,0.00124509,0.00124509
15,1001.85,1.24623,1.13504,1.33561,0.76772,0.66174,0.73557,0.4485,1.45602,1.13322,1.45739,0.00123094,0.00123094,0.00123094
16,1069.62,1.23302,1.12257,1.32106,0.72128,0.65492,0.68713,0.41554,1.43862,1.19017,1.47059,0.00121679,0.00121679,0.00121679
17,1137.13,1.25768,1.1162,1.33331,0.76522,0.63349,0.73044,0.4531,1.38814,1.09915,1.40373,0.00120265,0.00120265,0.00120265
18,1206.67,1.21687,1.09593,1.31755,0.72429,0.70074,0.72803,0.44556,1.40852,1.10833,1.43041,0.0011885,0.0011885,0.0011885
19,1276.83,1.22778,1.0971,1.31912,0.74543,0.64047,0.70738,0.43883,1.41562,1.08976,1.44245,0.00117435,0.00117435,0.00117435
20,1345.45,1.21701,1.0934,1.31203,0.72444,0.65901,0.72105,0.44939,1.38672,1.10902,1.43121,0.00116021,0.00116021,0.00116021
21,1413.46,1.22424,1.08309,1.31024,0.7154,0.6662,0.69603,0.43097,1.39246,1.11728,1.43211,0.00114606,0.00114606,0.00114606
22,1481.83,1.22716,1.0869,1.31281,0.73621,0.67304,0.72824,0.45757,1.37663,1.07188,1.41206,0.00113191,0.00113191,0.00113191
23,1549.82,1.22216,1.08354,1.30911,0.78692,0.65339,0.74698,0.45664,1.38971,1.08771,1.40153,0.00111776,0.00111776,0.00111776
