epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.0408,1.45297,2.03705,1.46821,0.44159,0.37315,0.32566,0.16046,1.84753,2.01827,1.87934,0.000474207,0.000474207,0.000474207
2,129.881,1.5506,1.87661,1.54507,0.39551,0.31936,0.28292,0.12749,1.8079,2.09038,1.77223,0.00094113,0.00094113,0.00094113
3,184.534,1.59862,1.87219,1.58112,0.39354,0.35204,0.29631,0.13612,1.88858,2.08254,1.8505,0.00139862,0.00139862,0.00139862
4,239.974,1.59486,1.87224,1.57681,0.41232,0.44571,0.37284,0.17667,1.73658,1.94363,1.77302,0.00138656,0.00138656,0.00138656
5,296.718,1.55466,1.75838,1.54715,0.417,0.42,0.37958,0.17934,1.71856,1.93253,1.74912,0.00137241,0.00137241,0.00137241
6,353.523,1.52186,1.76013,1.54461,0.49913,0.39963,0.39666,0.20431,1.78563,1.95016,1.6933,0.00135826,0.00135826,0.00135826
7,410.869,1.51662,1.71243,1.54078,0.48038,0.42749,0.41614,0.21127,1.72517,1.90056,1.71873,0.00134412,0.00134412,0.00134412
8,468.514,1.48826,1.67277,1.51458,0.56435,0.3936,0.43695,0.22741,1.70487,1.90808,1.67523,0.00132997,0.00132997,0.00132997
9,526.394,1.47626,1.6221,1.50438,0.56666,0.49083,0.53639,0.29858,1.57732,1.63452,1.59674,0.00131582,0.00131582,0.00131582
10,584.363,1.45786,1.61282,1.49805,0.63742,0.45896,0.51741,0.27649,1.57322,1.60365,1.60052,0.00130168,0.00130168,0.00130168
11,642.738,1.43335,1.58306,1.48838,0.64385,0.46801,0.53852,0.29542,1.54195,1.58033,1.55995,0.00128753,0.00128753,0.00128753
12,701.198,1.42391,1.5419,1.47476,0.63123,0.55378,0.57801,0.3136,1.55759,1.50264,1.56632,0.00127338,0.00127338,0.00127338
13,759.388,1.40938,1.50982,1.47038,0.63003,0.55369,0.57553,0.30662,1.59265,1.5434,1.61198,0.00125923,0.00125923,0.00125923
14,818.496,1.41204,1.50156,1.46326,0.61388,0.54341,0.5713,0.32259,1.52441,1.53883,1.56003,0.00124509,0.00124509,0.00124509
15,877.518,1.38964,1.47633,1.4402,0.64351,0.52025,0.56439,0.30985,1.56154,1.42575,1.56513,0.00123094,0.00123094,0.00123094
16,936.653,1.39992,1.46367,1.44121,0.61699,0.54169,0.58041,0.33197,1.48207,1.37625,1.50755,0.00121679,0.00121679,0.00121679
17,996.076,1.38353,1.43155,1.4438,0.64132,0.57673,0.61357,0.35136,1.5078,1.39027,1.54372,0.00120265,0.00120265,0.00120265
18,1055.24,1.3764,1.42325,1.43151,0.58541,0.53879,0.55959,0.31447,1.49239,1.44962,1.52407,0.0011885,0.0011885,0.0011885
19,1114.5,1.37608,1.43645,1.44101,0.67602,0.55277,0.62647,0.35966,1.46448,1.36936,1.49704,0.00117435,0.00117435,0.00117435
20,1173.56,1.35374,1.38554,1.42153,0.65011,0.55629,0.61005,0.35352,1.49474,1.38504,1.51948,0.00116021,0.00116021,0.00116021
21,1233.15,1.36149,1.38361,1.4217,0.71308,0.59619,0.6592,0.39029,1.43234,1.30199,1.46499,0.00114606,0.00114606,0.00114606
22,1292.81,1.34875,1.36928,1.41142,0.65279,0.55222,0.57377,0.32918,1.55772,1.52098,1.57342,0.00113191,0.00113191,0.00113191
23,1352.45,1.3495,1.36797,1.41952,0.67276,0.59331,0.62053,0.36812,1.42537,1.30628,1.47873,0.00111776,0.00111776,0.00111776
24,1412.32,1.33836,1.35239,1.4045,0.70897,0.59989,0.67477,0.39062,1.48706,1.28138,1.51661,0.00110362,0.00110362,0.00110362
25,1471.8,1.33097,1.34769,1.40308,0.72044,0.57351,0.66555,0.39375,1.45097,1.28648,1.48654,0.00108947,0.00108947,0.00108947
26,1531.95,1.33236,1.32141,1.40101,0.7124,0.59834,0.65503,0.39031,1.45943,1.27901,1.46799,0.00107532,0.00107532,0.00107532
27,1591.56,1.32539,1.29643,1.391,0.69994,0.59808,0.63914,0.38441,1.44199,1.30008,1.49434,0.00106118,0.00106118,0.00106118
28,1651.33,1.31774,1.29905,1.38924,0.72897,0.58849,0.67487,0.40169,1.4308,1.24239,1.4651,0.00104703,0.00104703,0.00104703
29,1711.09,1.31688,1.27657,1.38731,0.67181,0.62579,0.67363,0.40258,1.42651,1.23419,1.46313,0.00103288,0.00103288,0.00103288
30,1771.07,1.30074,1.2817,1.37672,0.71881,0.60022,0.66978,0.39912,1.44515,1.25212,1.47655,0.00101873,0.00101873,0.00101873
31,1830.9,1.30985,1.26567,1.37925,0.70424,0.62104,0.69016,0.42574,1.4112,1.18869,1.44505,0.00100459,0.00100459,0.00100459
32,1891.23,1.30121,1.25778,1.37732,0.73488,0.61655,0.6606,0.39358,1.41613,1.20912,1.46258,0.00099044,0.00099044,0.00099044
33,1950.83,1.28913,1.24121,1.36616,0.73295,0.63162,0.70421,0.42326,1.39794,1.16935,1.43591,0.000976293,0.000976293,0.000976293
34,2010.89,1.29849,1.23304,1.36876,0.72889,0.60277,0.6909,0.41614,1.41149,1.18033,1.43795,0.000962146,0.000962146,0.000962146
35,2071,1.28091,1.22174,1.35899,0.69426,0.61225,0.66686,0.39932,1.45428,1.26375,1.4842,0.000947999,0.000947999,0.000947999
36,2131.3,1.28365,1.22002,1.36298,0.66244,0.65873,0.67615,0.41142,1.39998,1.19527,1.43683,0.000933851,0.000933851,0.000933851
37,2191.2,1.27138,1.20872,1.36416,0.77274,0.62896,0.71924,0.43199,1.409,1.1545,1.45865,0.000919704,0.000919704,0.000919704
38,2251.23,1.27272,1.20655,1.3562,0.76945,0.63732,0.72197,0.44449,1.38933,1.1661,1.44996,0.000905557,0.000905557,0.000905557
39,2310.91,1.26493,1.20322,1.35569,0.71226,0.66054,0.69951,0.42718,1.41702,1.15589,1.44086,0.00089141,0.00089141,0.00089141
40,2371.22,1.26431,1.18798,1.35069,0.71,0.65439,0.69035,0.42501,1.40237,1.17644,1.4387,0.000877263,0.000877263,0.000877263
41,2431.1,1.24331,1.18002,1.34564,0.75144,0.6179,0.70691,0.43045,1.4103,1.16476,1.44592,0.000863116,0.000863116,0.000863116
42,2490.98,1.24293,1.16115,1.34166,0.75951,0.65102,0.71574,0.43828,1.38803,1.13397,1.44284,0.000848969,0.000848969,0.000848969
43,2550.2,1.24318,1.15374,1.33819,0.75462,0.66087,0.72368,0.44969,1.37278,1.10017,1.40848,0.000834822,0.000834822,0.000834822
44,2612.49,1.23285,1.14075,1.33107,0.70675,0.68186,0.71129,0.44086,1.36926,1.12179,1.42234,0.000820675,0.000820675,0.000820675
45,2675.66,1.23032,1.12435,1.32925,0.70133,0.67886,0.71145,0.44587,1.34574,1.1041,1.40192,0.000806528,0.000806528,0.000806528
46,2737.35,1.22457,1.12285,1.32071,0.75303,0.67182,0.7098,0.43865,1.3615,1.09746,1.40165,0.00079238,0.00079238,0.00079238
47,2799.6,1.21638,1.1299,1.31701,0.75334,0.64842,0.72088,0.44272,1.38425,1.12452,1.42408,0.000778233,0.000778233,0.000778233
48,2859.76,1.23056,1.14164,1.3262,0.74895,0.6655,0.72144,0.44579,1.36298,1.09267,1.40377,0.000764086,0.000764086,0.000764086
49,2921.61,1.22408,1.12021,1.3249,0.7492,0.69016,0.743,0.46302,1.36867,1.07788,1.40721,0.000749939,0.000749939,0.000749939
50,2984.88,1.21492,1.13097,1.32256,0.75717,0.66362,0.73188,0.43965,1.36314,1.08812,1.39498,0.000735792,0.000735792,0.000735792
51,3045.38,1.21198,1.10392,1.317,0.70808,0.68718,0.72404,0.45685,1.36001,1.08339,1.40456,0.000721645,0.000721645,0.000721645
52,3105.69,1.20484,1.087,1.31227,0.76533,0.65493,0.72724,0.45693,1.36788,1.09033,1.39579,0.000707498,0.000707498,0.000707498
53,3166.57,1.19319,1.07838,1.3076,0.7456,0.68224,0.73663,0.46332,1.37224,1.06732,1.41621,0.000693351,0.000693351,0.000693351
54,3226.84,1.20963,1.0778,1.31277,0.72571,0.69875,0.73565,0.4593,1.33821,1.07186,1.39964,0.000679204,0.000679204,0.000679204
