                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4857,                 2.3246,                 1.5181,                0.18866,                0.15326,                0.10439,                0.04106,                    nan,                    nan,                    nan,             0.00047525,             0.00047525,             0.00047525
                      2,                 1.5856,                 2.1069,                   1.59,                0.23465,                 0.1002,                0.06204,                0.02329,                    nan,                    nan,                    nan,             0.00093274,             0.00093274,             0.00093274
                      3,                 1.6197,                 2.0633,                 1.6122,                0.15049,                0.15287,                 0.0908,                 0.0352,                    nan,                    nan,                    nan,              0.0013714,              0.0013714,              0.0013714
                      4,                 1.6018,                 2.0293,                 1.6046,                0.13203,                0.16456,                  0.084,                0.03049,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.5629,                 1.9549,                 1.5807,                0.15831,                 0.1374,                0.08159,                0.03186,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.5527,                 1.9164,                 1.5707,                0.32499,                0.15172,                0.09105,                0.03635,                    nan,                    nan,                    nan,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.5172,                 1.8564,                 1.5461,                0.19929,                0.17811,                0.10786,                0.04189,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.4844,                 1.8085,                 1.5311,                0.30754,                0.17842,                0.12878,                0.05085,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                      9,                  1.465,                 1.7498,                 1.5095,                0.26536,                0.17367,                 0.1251,                0.05435,                    nan,                    nan,                    nan,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.4535,                 1.7194,                 1.4986,                0.26832,                0.21861,                0.14826,                  0.062,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.4333,                 1.6761,                 1.4808,                 0.2706,                0.19607,                0.12407,                0.05131,                    nan,                    nan,                    nan,              0.0011744,              0.0011744,              0.0011744
                     12,                  1.423,                 1.6572,                 1.4746,                0.32376,                0.23297,                0.16214,                0.06768,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                     13,                  1.414,                 1.6182,                 1.4697,                 0.2764,                0.21544,                0.15521,                0.06633,                    nan,                    nan,                    nan,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.3989,                 1.5975,                 1.4614,                 0.3151,                0.23552,                 0.1759,                 0.0789,                    nan,                    nan,                    nan,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.3809,                  1.585,                   1.45,                0.36438,                0.23634,                 0.1829,                0.07597,                    nan,                    nan,                    nan,              0.0010612,              0.0010612,              0.0010612
                     16,                 1.3787,                 1.5622,                  1.448,                0.33684,                0.22585,                0.16698,                0.07213,                    nan,                    nan,                    nan,              0.0010329,              0.0010329,              0.0010329
                     17,                 1.3594,                 1.5241,                 1.4339,                0.32203,                0.21468,                0.16834,                0.07654,                    nan,                    nan,                    nan,              0.0010046,              0.0010046,              0.0010046
                     18,                  1.359,                 1.5187,                 1.4275,                0.30423,                0.22735,                0.15821,                0.07051,                    nan,                    nan,                    nan,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.3423,                 1.4707,                 1.4144,                0.32565,                0.24474,                0.17714,                0.07828,                    nan,                    nan,                    nan,               0.000948,               0.000948,               0.000948
                     20,                 1.3265,                 1.4554,                 1.4073,                0.32001,                0.22857,                0.18918,                 0.0867,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
                     21,                  1.331,                 1.4429,                 1.3997,                0.39199,                 0.2115,                 0.1812,                0.08147,                    nan,                    nan,                    nan,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.3159,                 1.4364,                  1.401,                0.40529,                0.25351,                0.19591,                0.08888,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.3118,                 1.4285,                 1.3996,                0.37261,                0.25343,                0.19568,                0.08479,                    nan,                    nan,                    nan,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.2891,                  1.398,                  1.383,                0.35684,                0.24418,                0.19471,                0.08992,                    nan,                    nan,                    nan,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.2879,                 1.3839,                 1.3832,                0.33501,                 0.2688,                0.19517,                 0.0925,                    nan,                    nan,                    nan,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.2853,                 1.3661,                 1.3764,                 0.3917,                0.24089,                0.20325,                0.09429,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.2628,                 1.3498,                 1.3638,                 0.3879,                0.23778,                0.19806,                0.09287,                    nan,                    nan,                    nan,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.2631,                  1.327,                  1.362,                0.35806,                 0.2751,                0.21049,                0.10085,                    nan,                    nan,                    nan,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.2554,                 1.3097,                 1.3555,                0.39665,                0.22972,                  0.199,                0.09186,                    nan,                    nan,                    nan,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.2486,                 1.3182,                 1.3501,                 0.3844,                0.24374,                0.20438,                0.09475,                    nan,                    nan,                    nan,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.2325,                 1.2958,                  1.344,                 0.3984,                0.23755,                0.20241,                 0.0945,                    nan,                    nan,                    nan,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.2321,                   1.28,                 1.3393,                0.40798,                0.25721,                0.20616,                0.09749,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                     33,                 1.2328,                 1.2638,                 1.3406,                0.41683,                  0.251,                0.20657,                0.09953,                    nan,                    nan,                    nan,             0.00055188,             0.00055188,             0.00055188
                     34,                  1.216,                 1.2502,                 1.3312,                0.45121,                0.26995,                0.22633,                0.10781,                    nan,                    nan,                    nan,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.2077,                  1.256,                 1.3304,                0.43023,                0.26972,                0.21986,                0.10561,                    nan,                    nan,                    nan,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.2013,                 1.2242,                 1.3238,                0.40013,                0.25567,                0.21134,                0.10326,                    nan,                    nan,                    nan,               0.000467,               0.000467,               0.000467
                     37,                 1.2103,                 1.2145,                 1.3236,                0.43117,                0.24555,                0.20553,                0.09752,                    nan,                    nan,                    nan,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.1899,                 1.1946,                  1.312,                0.44622,                0.25052,                0.21006,                0.10119,                    nan,                    nan,                    nan,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.1822,                 1.1851,                 1.3102,                0.41564,                0.25907,                0.21367,                0.10458,                    nan,                    nan,                    nan,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.1765,                 1.1669,                  1.296,                0.43476,                0.25363,                0.21414,                0.10561,                    nan,                    nan,                    nan,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.1671,                 1.0389,                 1.3101,                0.43929,                0.25465,                0.21643,                0.10493,                    nan,                    nan,                    nan,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.1436,                 0.9939,                 1.2949,                0.46132,                0.25833,                0.22325,                 0.1088,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.1255,                0.97655,                 1.2874,                 0.4772,                0.25448,                0.22055,                0.10887,                    nan,                    nan,                    nan,             0.00026894,             0.00026894,             0.00026894
                     44,                  1.116,                0.95297,                 1.2779,                0.49835,                0.25093,                0.22159,                0.10813,                    nan,                    nan,                    nan,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.1014,                0.91865,                  1.265,                0.46078,                0.25957,                0.22432,                 0.1105,                    nan,                    nan,                    nan,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.0977,                0.92352,                 1.2628,                0.49229,                0.26362,                0.23232,                0.11498,                    nan,                    nan,                    nan,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.0766,                0.90023,                 1.2492,                0.46078,                0.27877,                0.22415,                0.11097,                    nan,                    nan,                    nan,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.0716,                0.90254,                 1.2419,                0.48412,                0.26948,                0.22451,                0.11158,                    nan,                    nan,                    nan,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.0571,                0.87013,                 1.2312,                0.47955,                 0.2673,                0.22891,                0.11384,                    nan,                    nan,                    nan,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.0515,                0.86415,                   1.23,                 0.4506,                0.28065,                0.23273,                0.11558,                    nan,                    nan,                    nan,             7.0878e-05,             7.0878e-05,             7.0878e-05
