                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5773,                 2.2028,                 1.5152,                0.20306,                 0.1409,                0.11105,                0.04203,                    nan,                    nan,                    nan,               0.080185,             9.9574e-05,             9.9574e-05
                      2,                 1.5028,                 1.8099,                 1.4743,                 0.6416,                0.19171,                0.18297,                0.07789,                    nan,                    nan,                    nan,               0.060282,              0.0001971,              0.0001971
                      3,                 1.4963,                  1.735,                 1.4716,                0.37974,                0.24684,                0.25793,                0.12415,                    nan,                    nan,                    nan,               0.040377,             0.00029216,             0.00029216
                      4,                 1.4914,                 1.6756,                 1.4653,                0.31793,                0.23169,                0.23215,                0.10615,                    nan,                    nan,                    nan,                0.02047,             0.00038474,             0.00038474
                      5,                 1.4555,                  1.629,                 1.4468,                0.44016,                0.25241,                0.27291,                0.13342,                    nan,                    nan,                    nan,             0.00055995,             0.00047485,             0.00047485
                      6,                 1.4757,                 1.5954,                 1.4506,                0.68706,                0.23619,                0.26429,                0.13067,                    nan,                    nan,                    nan,             0.00046906,             0.00046906,             0.00046906
                      7,                 1.4443,                 1.5556,                 1.4389,                0.40732,                 0.2506,                0.27157,                0.13517,                    nan,                    nan,                    nan,             0.00046906,             0.00046906,             0.00046906
                      8,                 1.4327,                 1.5301,                 1.4278,                0.65396,                 0.2486,                0.26942,                0.13554,                    nan,                    nan,                    nan,             0.00046288,             0.00046288,             0.00046288
                      9,                 1.4332,                 1.5166,                 1.4359,                0.54308,                0.26325,                0.29713,                0.15319,                    nan,                    nan,                    nan,             0.00045669,             0.00045669,             0.00045669
                     10,                 1.4192,                 1.4808,                 1.4138,                0.37799,                 0.2952,                0.30115,                0.15307,                    nan,                    nan,                    nan,              0.0004505,              0.0004505,              0.0004505
                     11,                 1.3916,                 1.4394,                 1.4079,                0.57559,                0.26894,                0.29782,                0.14836,                    nan,                    nan,                    nan,             0.00044431,             0.00044431,             0.00044431
                     12,                 1.3997,                 1.4255,                  1.406,                0.54541,                 0.3189,                0.33476,                0.16833,                    nan,                    nan,                    nan,             0.00043812,             0.00043812,             0.00043812
                     13,                 1.3773,                 1.4003,                  1.391,                 0.7297,                0.26948,                0.31239,                0.16034,                    nan,                    nan,                    nan,             0.00043194,             0.00043194,             0.00043194
                     14,                 1.3721,                 1.3892,                 1.3865,                0.41245,                0.30783,                0.32068,                0.16306,                    nan,                    nan,                    nan,             0.00042575,             0.00042575,             0.00042575
                     15,                 1.3679,                 1.3817,                 1.3813,                0.44189,                0.30268,                0.30451,                0.15192,                    nan,                    nan,                    nan,             0.00041956,             0.00041956,             0.00041956
                     16,                  1.361,                 1.3648,                  1.383,                0.55807,                0.29099,                0.30653,                0.15488,                    nan,                    nan,                    nan,             0.00041338,             0.00041338,             0.00041338
                     17,                 1.3506,                  1.344,                 1.3767,                 0.4925,                0.27881,                0.32061,                0.17036,                    nan,                    nan,                    nan,             0.00040719,             0.00040719,             0.00040719
                     18,                 1.3386,                 1.3339,                 1.3721,                0.57318,                 0.3143,                 0.3499,                0.18004,                    nan,                    nan,                    nan,               0.000401,               0.000401,               0.000401
                     19,                 1.3529,                 1.3255,                  1.379,                 0.5728,                 0.3045,                0.33697,                0.18356,                    nan,                    nan,                    nan,             0.00039481,             0.00039481,             0.00039481
                     20,                 1.3341,                 1.2971,                 1.3627,                0.59665,                0.29451,                0.34956,                0.17891,                    nan,                    nan,                    nan,             0.00038863,             0.00038863,             0.00038863
                     21,                   1.33,                  1.273,                 1.3616,                0.48817,                0.31761,                 0.3323,                0.17019,                    nan,                    nan,                    nan,             0.00038244,             0.00038244,             0.00038244
                     22,                 1.3188,                 1.2851,                 1.3475,                0.45115,                0.28973,                  0.329,                0.17394,                    nan,                    nan,                    nan,             0.00037625,             0.00037625,             0.00037625
                     23,                 1.3136,                 1.2698,                 1.3535,                0.43906,                0.29294,                0.30528,                0.15872,                    nan,                    nan,                    nan,             0.00037006,             0.00037006,             0.00037006
                     24,                 1.3158,                 1.2596,                 1.3479,                0.43305,                0.28394,                0.32065,                0.16368,                    nan,                    nan,                    nan,             0.00036387,             0.00036387,             0.00036387
                     25,                 1.3115,                  1.255,                 1.3479,                0.48293,                0.33901,                0.34906,                0.18541,                    nan,                    nan,                    nan,             0.00035769,             0.00035769,             0.00035769
                     26,                  1.305,                 1.2327,                 1.3406,                0.63638,                0.31055,                0.36238,                0.18974,                    nan,                    nan,                    nan,              0.0003515,              0.0003515,              0.0003515
                     27,                 1.2986,                 1.2243,                 1.3354,                 0.4671,                0.32661,                0.35164,                0.18607,                    nan,                    nan,                    nan,             0.00034531,             0.00034531,             0.00034531
                     28,                 1.2827,                 1.2132,                 1.3296,                0.46402,                0.34105,                0.35662,                0.18893,                    nan,                    nan,                    nan,             0.00033913,             0.00033913,             0.00033913
                     29,                 1.2855,                  1.198,                 1.3301,                0.60062,                0.33052,                0.36865,                0.18872,                    nan,                    nan,                    nan,             0.00033294,             0.00033294,             0.00033294
                     30,                 1.2808,                 1.1831,                 1.3186,                0.48918,                0.31351,                0.34899,                0.18825,                    nan,                    nan,                    nan,             0.00032675,             0.00032675,             0.00032675
                     31,                 1.2743,                 1.2005,                 1.3218,                0.58183,                0.31735,                0.34561,                0.18144,                    nan,                    nan,                    nan,             0.00032056,             0.00032056,             0.00032056
                     32,                 1.2704,                 1.1785,                 1.3142,                0.48338,                 0.3188,                0.33953,                0.18146,                    nan,                    nan,                    nan,             0.00031438,             0.00031438,             0.00031438
                     33,                 1.2587,                 1.1705,                 1.3229,                0.53038,                0.31522,                0.34398,                0.18454,                    nan,                    nan,                    nan,             0.00030819,             0.00030819,             0.00030819
                     34,                 1.2546,                 1.1622,                 1.3143,                0.50244,                0.32481,                0.35701,                 0.1941,                    nan,                    nan,                    nan,               0.000302,               0.000302,               0.000302
