epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.5774,1.45297,2.03705,1.46821,0.44159,0.37315,0.32566,0.16046,1.84753,2.01827,1.87934,0.000474207,0.000474207,0.000474207
2,113.702,1.55715,1.87839,1.55242,0.31144,0.34528,0.26777,0.11897,1.87305,2.24189,1.85752,0.000936495,0.000936495,0.000936495
3,169.271,1.59822,1.855,1.58174,0.37674,0.35734,0.30007,0.13638,1.84198,2.06618,1.84628,0.00138471,0.00138471,0.00138471
4,226.65,1.59387,1.85414,1.57329,0.40544,0.40451,0.35798,0.17011,1.76918,1.8718,1.73401,0.00136565,0.00136565,0.00136565
5,284.903,1.55817,1.75318,1.54821,0.46286,0.42961,0.38919,0.19106,1.73299,1.89268,1.71731,0.00134454,0.00134454,0.00134454
6,344.699,1.52693,1.75093,1.54407,0.43739,0.55162,0.46725,0.23494,1.67825,2.20869,1.68426,0.00132342,0.00132342,0.00132342
7,403.404,1.50469,1.69641,1.5241,0.4845,0.48313,0.43353,0.21664,1.64377,1.82786,1.71555,0.00130231,0.00130231,0.00130231
8,462.286,1.48955,1.64252,1.51297,0.49179,0.45653,0.4603,0.23056,1.70105,1.78714,1.66518,0.00128119,0.00128119,0.00128119
9,522.76,1.47504,1.61537,1.50063,0.57917,0.47299,0.52051,0.2695,1.58941,1.65843,1.59948,0.00126008,0.00126008,0.00126008
10,582.515,1.45175,1.58942,1.49258,0.58286,0.51937,0.54224,0.29805,1.55401,1.52073,1.5712,0.00123896,0.00123896,0.00123896
11,642.931,1.42535,1.56082,1.47749,0.59101,0.46773,0.51859,0.28283,1.55884,1.54228,1.5626,0.00121785,0.00121785,0.00121785
12,701.964,1.41468,1.519,1.46258,0.64104,0.51754,0.56301,0.31026,1.59456,1.52647,1.59374,0.00119673,0.00119673,0.00119673
13,760.814,1.40704,1.49397,1.45838,0.67915,0.50335,0.57998,0.31781,1.54918,1.47991,1.55029,0.00117562,0.00117562,0.00117562
14,820.247,1.40282,1.49223,1.45338,0.63076,0.54981,0.57125,0.32019,1.52994,1.43958,1.5435,0.0011545,0.0011545,0.0011545
15,879.956,1.38056,1.45792,1.43148,0.65731,0.47232,0.54331,0.2871,1.67972,1.4896,1.67971,0.00113339,0.00113339,0.00113339
16,941.367,1.38951,1.4361,1.43394,0.63359,0.54924,0.57835,0.33465,1.47706,1.41128,1.50672,0.00111227,0.00111227,0.00111227
17,1003.5,1.3725,1.40166,1.42829,0.71602,0.53411,0.61678,0.35391,1.52056,1.33383,1.54604,0.00109116,0.00109116,0.00109116
18,1065.72,1.36173,1.40061,1.42152,0.64345,0.5669,0.6211,0.37142,1.47237,1.34524,1.49193,0.00107004,0.00107004,0.00107004
19,1127,1.36741,1.40847,1.4255,0.68503,0.54735,0.62549,0.34921,1.46546,1.38083,1.49327,0.00104893,0.00104893,0.00104893
20,1189.05,1.34643,1.35979,1.41043,0.66307,0.57964,0.63107,0.37166,1.47145,1.36169,1.5001,0.00102781,0.00102781,0.00102781
21,1254.32,1.35341,1.3551,1.40985,0.7034,0.60177,0.6553,0.38035,1.43078,1.28059,1.46851,0.0010067,0.0010067,0.0010067
22,1323.99,1.33342,1.34812,1.40323,0.69637,0.60156,0.65835,0.37972,1.4739,1.30984,1.49764,0.000985583,0.000985583,0.000985583
23,1392.23,1.33445,1.33659,1.40911,0.68354,0.62077,0.6605,0.39011,1.45641,1.25248,1.49761,0.000964468,0.000964468,0.000964468
24,1461.24,1.32956,1.32466,1.39857,0.66841,0.618,0.69146,0.40704,1.46861,1.27577,1.48325,0.000943353,0.000943353,0.000943353
25,1528.47,1.31481,1.30735,1.39283,0.71959,0.60332,0.69954,0.41457,1.43522,1.21863,1.4638,0.000922238,0.000922238,0.000922238
26,1594.65,1.3135,1.28867,1.38654,0.70886,0.60533,0.68187,0.40391,1.42978,1.24866,1.45718,0.000901123,0.000901123,0.000901123
27,1659.06,1.3001,1.27004,1.37366,0.77926,0.60765,0.70889,0.42522,1.43645,1.19832,1.46674,0.000880008,0.000880008,0.000880008
28,1720.85,1.3036,1.26441,1.37546,0.72549,0.62097,0.68861,0.39953,1.45127,1.22208,1.46441,0.000858893,0.000858893,0.000858893
29,1782.31,1.29115,1.23861,1.37015,0.71094,0.65015,0.70183,0.42474,1.40125,1.18265,1.43475,0.000837778,0.000837778,0.000837778
30,1843.9,1.28281,1.24377,1.36485,0.65934,0.66019,0.69159,0.42012,1.41871,1.20451,1.45532,0.000816663,0.000816663,0.000816663
31,1906.14,1.28277,1.22496,1.36327,0.73626,0.65015,0.72228,0.43515,1.4233,1.1373,1.44807,0.000795548,0.000795548,0.000795548
32,1968.93,1.27148,1.21187,1.35731,0.70338,0.65444,0.68401,0.41217,1.40735,1.165,1.44507,0.000774433,0.000774433,0.000774433
33,2033.54,1.2612,1.19144,1.34583,0.68679,0.6575,0.69564,0.42168,1.40694,1.18247,1.44546,0.000753318,0.000753318,0.000753318
34,2096.81,1.27405,1.19258,1.35016,0.70313,0.64798,0.6865,0.41347,1.38692,1.18307,1.41369,0.000732203,0.000732203,0.000732203
35,2158.96,1.25259,1.17989,1.33828,0.68044,0.66416,0.68085,0.41334,1.4216,1.19963,1.45221,0.000711087,0.000711087,0.000711087
36,2223.37,1.2556,1.17716,1.34325,0.69075,0.65003,0.69029,0.43203,1.3787,1.12618,1.42178,0.000689972,0.000689972,0.000689972
37,2286.63,1.24122,1.16103,1.34306,0.72443,0.6433,0.67965,0.41728,1.38185,1.13104,1.43398,0.000668857,0.000668857,0.000668857
38,2348.6,1.24213,1.15556,1.33458,0.73345,0.6878,0.73719,0.45229,1.37493,1.11032,1.41679,0.000647742,0.000647742,0.000647742
39,2410.23,1.22785,1.14616,1.32629,0.73939,0.65735,0.71694,0.44533,1.36908,1.10924,1.40288,0.000626627,0.000626627,0.000626627
40,2472.14,1.23128,1.12885,1.32817,0.71996,0.67462,0.70308,0.43557,1.34809,1.11084,1.3944,0.000605512,0.000605512,0.000605512
41,2534.6,1.21426,1.13098,1.32086,0.7357,0.68444,0.73584,0.45737,1.3387,1.08348,1.38443,0.000584397,0.000584397,0.000584397
42,2601.09,1.21119,1.1037,1.31622,0.75559,0.6774,0.74686,0.46372,1.36561,1.08659,1.41079,0.000563282,0.000563282,0.000563282
43,2664.55,1.20366,1.09933,1.30925,0.80894,0.65519,0.74626,0.46063,1.3974,1.06839,1.42264,0.000542167,0.000542167,0.000542167
44,2728.1,1.19968,1.08496,1.30856,0.73258,0.69814,0.73117,0.45952,1.34672,1.07458,1.392,0.000521052,0.000521052,0.000521052
45,2792.21,1.19291,1.07143,1.30287,0.78646,0.65788,0.73276,0.45882,1.34821,1.06188,1.39366,0.000499937,0.000499937,0.000499937
46,2855.87,1.18622,1.07643,1.29933,0.78031,0.68103,0.7423,0.4676,1.35198,1.04142,1.39635,0.000478822,0.000478822,0.000478822
47,2919.84,1.17656,1.06357,1.29357,0.75015,0.68225,0.73444,0.4662,1.35294,1.04312,1.39212,0.000457707,0.000457707,0.000457707
48,2984.32,1.18747,1.0646,1.30395,0.74923,0.70665,0.75624,0.47611,1.3269,1.02621,1.37103,0.000436591,0.000436591,0.000436591
49,3048.15,1.18555,1.05893,1.30008,0.75751,0.68779,0.7432,0.47268,1.35011,1.04171,1.38244,0.000415476,0.000415476,0.000415476
50,3112.12,1.18164,1.05279,1.30395,0.76178,0.70424,0.74975,0.48236,1.33162,1.00598,1.37811,0.000394361,0.000394361,0.000394361
51,3176,1.1694,1.045,1.28988,0.81105,0.66936,0.76592,0.48635,1.33896,1.01927,1.37429,0.000373246,0.000373246,0.000373246
52,3240.12,1.1624,1.0305,1.28548,0.77347,0.70152,0.75929,0.48358,1.34794,1.0314,1.37793,0.000352131,0.000352131,0.000352131
53,3306.82,1.14973,1.01467,1.27392,0.77329,0.70549,0.76234,0.48913,1.34445,1.01082,1.38701,0.000331016,0.000331016,0.000331016
54,3371.45,1.16109,1.0058,1.27886,0.74689,0.71162,0.75693,0.48634,1.33289,1.00395,1.37697,0.000309901,0.000309901,0.000309901
55,3434.83,1.1393,1.0179,1.27388,0.78603,0.71283,0.77503,0.50046,1.33793,0.99877,1.39089,0.000288786,0.000288786,0.000288786
56,3500.03,1.12614,0.98003,1.26524,0.76361,0.71917,0.76317,0.49355,1.32455,0.98335,1.36634,0.000267671,0.000267671,0.000267671
57,3565.37,1.1527,0.9949,1.27811,0.77837,0.70253,0.76779,0.49862,1.32494,0.99264,1.37009,0.000246556,0.000246556,0.000246556
58,3639.6,1.10413,0.83145,1.24212,0.75372,0.71241,0.76501,0.49025,1.33581,0.99498,1.38499,0.000225441,0.000225441,0.000225441
59,3702.83,1.08478,0.8198,1.22971,0.7832,0.70675,0.77116,0.49572,1.32452,0.97587,1.37726,0.000204326,0.000204326,0.000204326
